日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20220930,00110101,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,54923.0000,対象外,0.0000,
20220930,00110101,,買掛金,42010,,,,パーラー営業部,現金仕入：10%,,,,,36135.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:オリジナルグッズ付箋（仕入れ振替）
20220930,00110101,,買掛金,42010,,,,パーラー営業部,現金仕入8％,,,,,479.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:ホットシチュークリーム３個（仕入れ振替）
20220930,00110101,,事務消耗品費,86100,,,,CHIKASAKUⅡ,事務用品,,,,,660.0000,課対仕入10%,60.0000,,,,,,,,,,,,,,,出納:ボタン電池６セット（リモコン用）
20220930,00110101,,旅費交通費,86110,,,,CHIKASAKUⅡ,交通機関,,,,,1446.0000,課対仕入10%,131.0000,,,,,,,,,,,,,,,出納:9/13八王子展示会視察（府中⇔京王八王子）
20220930,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,販促物,,,,,8190.0000,課対仕入10%,744.0000,,,,,,,,,,,,,,,出納:ワゴン装飾用生地（サテン）
20220930,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,プライズ（景品代）,,,,,1316.0000,課対仕入10%,119.0000,,,,,,,,,,,,,,,出納:BOXティッシュ３個（ポイント景品）
20220930,00110101,,衛生費,86190,,,,CHIKASAKUⅡ,Ｐ清掃・衛生用品,,,,,217.0000,課対仕入10%,19.0000,,,,,,,,,,,,,,,出納:ダスター洗濯用レノア
20220930,00110101,,非課税支払手数料,86303,,,,CHIKASAKUⅡ,各種手数料（官公庁）,,,,,5440.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:10/3新台入替（変更承認申請書代）
20220930,00110101,,運賃荷造費,86340,,,,CHIKASAKUⅡ,配送費・運賃,,,,,1040.0000,課対仕入10%,94.0000,,,,,,,,,,,,,,,出納:リモコン着払い代
