日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20240225,00110001,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,36926.0000,対象外,0.0000,
20240225,00110001,,事務消耗品費,86100,,,,CHIKASAKUⅡ,備品,,,,,34430.0000,課対仕入10%,3130.0000,,,,,,,,,,,,,,,出納:店舗台鍵
20240225,00110001,,旅費交通費,86110,,,,CHIKASAKUⅡ,交通機関,,,,,2496.0000,課対仕入10%,226.0000,,,,,,,,,,,,,,,出納:視察　府中⇒立川⇒国分寺
