日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20240930,00110101,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,87427.0000,対象外,0.0000,
20240930,00110101,,買掛金,42010,,,,CHIKASAKUⅡ,現金仕入：10%,,,,,1311.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:ハロウィントイレットペーパー
20240930,00110101,,買掛金,42010,,,,CHIKASAKUⅡ,現金仕入8％,,,,,1080.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:ハロウィン商品（８％）
20240930,00110101,,事務消耗品費,86100,,,,CHIKASAKUⅡ,事務用品,,,,,1320.0000,課対仕入10%,120.0000,,,,,,,,,,,,,,,出納:備品
20240930,00110101,,事務消耗品費,86100,,,,CHIKASAKUⅡ,備品,,,,,19843.0000,課対仕入10%,1803.0000,,,,,,,,,,,,,,,出納:折り畳みコンテナ
20240930,00110101,,旅費交通費,86110,,,,CHIKASAKUⅡ,交通機関,,,,,4319.0000,課対仕入10%,391.0000,,,,,,,,,,,,,,,出納:府中⇒立川⇒国分寺
20240930,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,アメニティ用品,,,,,7832.0000,課対仕入10%,712.0000,,,,,,,,,,,,,,,出納:貸出し用手袋
20240930,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,販促物,,,,,8145.0000,課対仕入10%,739.0000,,,,,,,,,,,,,,,出納:パトランプ
20240930,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,個店イベント,,,,,16271.0000,課対仕入10%,1479.0000,,,,,,,,,,,,,,,出納:総付けお菓子
20240930,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,プライズ（景品代）,,,,,6866.0000,課対仕入10%,569.0000,,,,,,,,,,,,,,,出納:ポイント商品
20240930,00110101,,車両燃料費,86200,,,,CHIKASAKUⅡ,駐車料金,,,,,1600.0000,課対仕入10%,145.0000,,,,,,,,,,,,,,,出納:駐車代
20240930,00110101,,非課税支払手数料,86303,,,,CHIKASAKUⅡ,各種手数料（官公庁）,,,,,17900.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:変更承認申請書
20240930,00110101,,運賃荷造費,86340,,,,CHIKASAKUⅡ,配送費・運賃,,,,,940.0000,課対仕入10%,85.0000,,,,,,,,,,,,,,,出納:運賃
