日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20240925,00110001,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,200000.0000,対象外,0.0000,出納:小口現金
20240925,00110001,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,73371.0000,対象外,0.0000,
20240925,00110001,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,200000.0000,対象外,0.0000,,,,,,,,,,,,,,,
20240925,00110001,,事務消耗品費,86100,,,,CHIKASAKUⅡ,事務用品,,,,,880.0000,課対仕入10%,80.0000,,,,,,,,,,,,,,,出納:ラミネーター用クリーナー
20240925,00110001,,事務消耗品費,86100,,,,CHIKASAKUⅡ,スロット部品,,,,,16291.0000,課対仕入10%,1481.0000,,,,,,,,,,,,,,,出納:L北斗の拳部品
20240925,00110001,,旅費交通費,86110,,,,CHIKASAKUⅡ,交通機関,,,,,5857.0000,課対仕入10%,530.0000,,,,,,,,,,,,,,,出納:ぶどう狩り交通費
20240925,00110001,,販売促進費,86145,,,,CHIKASAKUⅡ,アメニティ用品,,,,,3916.0000,課対仕入10%,356.0000,,,,,,,,,,,,,,,出納:貸し出し用手袋
20240925,00110001,,販売促進費,86145,,,,CHIKASAKUⅡ,販促物,,,,,2980.0000,課対仕入10%,270.0000,,,,,,,,,,,,,,,出納:LED警告灯（パトランプ）
20240925,00110001,,販売促進費,86145,,,,CHIKASAKUⅡ,個店イベント,,,,,16332.0000,課対仕入10%,1484.0000,,,,,,,,,,,,,,,出納:ファイブミニ
20240925,00110001,,車両燃料費,86200,,,,CHIKASAKUⅡ,駐車料金,,,,,2800.0000,課対仕入10%,254.0000,,,,,,,,,,,,,,,出納:駐車場代
20240925,00110001,,支払手数料,86300,,,,CHIKASAKUⅡ,事務手数料,,,,,6930.0000,課対仕入10%,630.0000,,,,,,,,,,,,,,,出納:代引手数料、部品管理費：L北斗の拳部品
20240925,00110001,,非課税支払手数料,86303,,,,CHIKASAKUⅡ,各種手数料（官公庁）,,,,,15180.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:変更承認申請書
20240925,00110001,,運賃荷造費,86340,,,,CHIKASAKUⅡ,配送費・運賃,,,,,2205.0000,課対仕入10%,200.0000,,,,,,,,,,,,,,,出納:運賃
