日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20221225,00110001,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,200000.0000,対象外,0.0000,出納:小口現金入金
20221225,00110001,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,74911.0000,対象外,0.0000,
20221225,00110001,,,,,,,,,,,,,,,,福利厚生費,86050,,,,総務部,食券販売代金,,,,,13500.0000,課対仕入10%,1227.0000,出納:食券代
20221225,00110001,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,213500.0000,対象外,0.0000,,,,,,,,,,,,,,,
20221225,00110001,,買掛金,42010,,,,CHIKASAKUⅡ,現金仕入8％,,,,,4168.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:プラザクリスマス商品（現金仕入れ　4点）
20221225,00110001,,事務消耗品費,86100,,,,CHIKASAKUⅡ,備品,,,,,7874.0000,課対仕入10%,715.0000,,,,,,,,,,,,,,,出納:インカムマイク1本
20221225,00110001,,旅費交通費,86110,,,,CHIKASAKUⅡ,交通機関,,,,,1924.0000,課対仕入10%,174.0000,,,,,,,,,,,,,,,出納:11/30上野展示会視察（府中⇔上野）
20221225,00110001,,販売促進費,86145,,,,CHIKASAKUⅡ,販促物,,,,,440.0000,課対仕入10%,40.0000,,,,,,,,,,,,,,,出納:クリスマス装飾品モール4本
20221225,00110001,,販売促進費,86145,,,,CHIKASAKUⅡ,個店イベント,,,,,39092.0000,課対仕入10%,3553.0000,,,,,,,,,,,,,,,出納:クリスマス装飾用空気入れ他　クッション3枚
20221225,00110001,,販売促進費,86145,,,,CHIKASAKUⅡ,プライズ（景品代）,,,,,6233.0000,課対仕入10%,564.0000,,,,,,,,,,,,,,,出納:ポイント景品（お茶3本）
20221225,00110001,,非課税支払手数料,86303,,,,CHIKASAKUⅡ,各種手数料（官公庁）,,,,,15180.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:12/12新台入替（変更承認申請書代）
