日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20231231,00110101,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,200000.0000,対象外,0.0000,出納:小口現金
20231231,00110101,,,,,,,,,,,,,,,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,90783.0000,対象外,0.0000,
20231231,00110101,,小口現金,10020,,,,CHIKASAKUⅡ,,,,,,200000.0000,対象外,0.0000,,,,,,,,,,,,,,,
20231231,00110101,,事務消耗品費,86100,,,,CHIKASAKUⅡ,事務用品,,,,,550.0000,課対仕入10%,50.0000,,,,,,,,,,,,,,,出納:フック、トレー
20231231,00110101,,事務消耗品費,86100,,,,CHIKASAKUⅡ,備品,,,,,11267.0000,課対仕入10%,1023.0000,,,,,,,,,,,,,,,出納:名札30個
20231231,00110101,,事務消耗品費,86100,,,,CHIKASAKUⅡ,スロット部品,,,,,11341.0000,課対仕入10%,1031.0000,,,,,,,,,,,,,,,出納:このすば部品
20231231,00110101,,旅費交通費,86110,,,,CHIKASAKUⅡ,交通機関,,,,,6191.0000,課対仕入10%,560.0000,,,,,,,,,,,,,,,出納:視察　府中⇒八王子⇒国分寺
20231231,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,アメニティ用品,,,,,9520.0000,課対仕入10%,864.0000,,,,,,,,,,,,,,,出納:貸出し用手袋
20231231,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,販促物,,,,,7358.0000,課対仕入10%,668.0000,,,,,,,,,,,,,,,出納:販促用テープライト
20231231,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,個店イベント,,,,,20810.0000,課対仕入10%,1891.0000,,,,,,,,,,,,,,,出納:1月総付け景品
20231231,00110101,,販売促進費,86145,,,,CHIKASAKUⅡ,プライズ（景品代）,,,,,4593.0000,課対仕入10%,416.0000,,,,,,,,,,,,,,,出納:ポイント景品
20231231,00110101,,非課税支払手数料,86303,,,,CHIKASAKUⅡ,各種手数料（官公庁）,,,,,16420.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:12/25入替申請料
20231231,00110101,,運賃荷造費,86340,,,,CHIKASAKUⅡ,配送費・運賃,,,,,2733.0000,課対仕入10%,248.0000,,,,,,,,,,,,,,,出納:着払い
