日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20240725,00104001,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル府中,,,,,,157972.0000,対象外,0.0000,
20240725,00104001,,買掛金,42010,,,,ベンダー部門,現金仕入8％,,,,,3628.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:現金仕入コカ・コーラ
20240725,00104001,,事務消耗品費,86100,,,,スパークル府中,備品,,,,,3649.0000,課対仕入10%,331.0000,,,,,,,,,,,,,,,出納:両面テープ（10個）
20240725,00104001,,事務消耗品費,86100,,,,スパークル府中,パチンコ部品,,,,,1188.0000,課対仕入10%,108.0000,,,,,,,,,,,,,,,出納:パチンコ部品（三洋釘）
20240725,00104001,,旅費交通費,86110,,,,スパークル府中,交通機関,,,,,1976.0000,課対仕入10%,177.0000,,,,,,,,,,,,,,,出納:府中→秋葉原
20240725,00104001,,販売促進費,86145,,,,スパークル府中,アメニティ用品,,,,,110.0000,課対仕入10%,10.0000,,,,,,,,,,,,,,,出納:コットンパフ
20240725,00104001,,販売促進費,86145,,,,スパークル府中,販促物,,,,,34803.0000,課対仕入10%,3162.0000,,,,,,,,,,,,,,,出納:装飾用　ナイロン道糸
20240725,00104001,,販売促進費,86145,,,,スパークル府中,個店イベント,,,,,54343.0000,課対仕入10%,4939.0000,,,,,,,,,,,,,,,出納:総付景品（東京バナナ）
20240725,00104001,,販売促進費,86145,,,,スパークル府中,プライズ（景品代）,,,,,39667.0000,課対仕入10%,3604.0000,,,,,,,,,,,,,,,出納:ポイント景品（キーホルダー）
20240725,00104001,,教育費,86260,,,,スパークル府中,セミナー・研修・受験費用,,,,,1600.0000,課対仕入10%,145.0000,,,,,,,,,,,,,,,出納:防火・労災管理者　再講習教材費
20240725,00104001,,非課税支払手数料,86303,,,,スパークル府中,各種手数料（官公庁）,,,,,13140.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:7/8変更承認申請料
20240725,00104001,,雑費,86310,,,,スパークル府中,その他,,,,,3868.0000,課対仕入10%,351.0000,,,,,,,,,,,,,,,出納:まかない
